TODS,ACM Transactions on Database Systems,A,数据期刊,ACM
TKDE,IEEE Transactions on Knowledge and Data Engineering,A,数据期刊,IEEE
VLDBJ,The VLDB Journal,A,数据期刊,Springer
TKDD,ACM Transactions on Knowledge Discovery from Data,B,数据期刊,ACM
TWEB,ACM Transactions on the Web,B,数据期刊,ACM
AEI,Advanced Engineering Informatics,B,数据期刊,Elsevier
DKE,Data & Knowledge Engineering,B,数据期刊,Elsevier
DMKD,Data Mining and Knowledge Discovery,B,数据期刊,Springer
EJIS,European Journal of Information Systems,B,数据期刊,Springer
GeoInformatica,GeoInformatica,B,数据期刊,Springer
IPM,Information Processing and Management,B,数据期刊,Elsevier
Information Sciences,Information Sciences,B,数据期刊,Elsevier
IS,Information Systems,B,数据期刊,Elsevier
JASIST,Journal of the Association for Information Science and Technology,B,数据期刊,Wiley
JWS,Journal of Web Semantics,B,数据期刊,Elsevier
KAIS,Knowledge and Information Systems,B,数据期刊,Springer
DPD,Distributed and Parallel Databases,C,数据期刊,Springer
I&M,Information & Management,C,数据期刊,Elsevier
IPL,Information Processing Letters,C,数据期刊,Elsevier
IR,Information Retrieval Journal,C,数据期刊,Springer
IJCIS,International Journal of Cooperative Information Systems,C,数据期刊,World Scientific
IJGIS,International Journal of Geographical Information Science,C,数据期刊,Taylor & Francis
IJIS,International Journal of Intelligent Systems,C,数据期刊,Wiley
IJKM,International Journal of Knowledge Management,C,数据期刊,IGI
IJSWIS,International Journal on Semantic Web and Information Systems,C,数据期刊,IGI
JCIS,Journal of Computer Information Systems,C,数据期刊,IACIS
JDM,Journal of Database Management,C,数据期刊,IGI-Global
JGITM,Journal of Global Information Technology Management,C,数据期刊,Ivy League Publishing
JIIS,Journal of Intelligent Information Systems ,C,数据期刊,Springer
JSIS,The Journal of Strategic Information Systems,C,数据期刊,Elsevier
DSE,Data Science and Engineering,C,数据期刊,CCF
SIGMOD,ACM SIGMOD Conference,A,数据会议,ACM
SIGKDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,A,数据会议,ACM
ICDE,IEEE International Conference on Data Engineering,A,数据会议,IEEE
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,A,数据会议,ACM
VLDB,International Conference on Very Large Data Bases,A,数据会议,Morgan Kaufmann/ACM
CIKM,ACM International Conference on Information and Knowledge Management,B,数据会议,ACM
WSDM,ACM International Conference on Web Search and Data Mining,B,数据会议,ACM
PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principlesof DatabaseSystems,B,数据会议,ACM
DASFAA,International Conference on Database Systems for Advanced Applications,B,数据会议,Springer
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,B,数据会议,Springer
ISWC,IEEE International Semantic Web Conference,B,数据会议,IEEE
ICDM,IEEE International Conference on Data Mining,B,数据会议,IEEE
ICDT,International Conference on Database Theory,B,数据会议,Springer
EDBT,International Conference on Extending Database Technology,B,数据会议,Springer
CIDR,Conference on Innovative Data Systems Research,B,数据会议,Online Proceeding
SDM,SIAM International Conference on Data Mining,B,数据会议,SIAM
RecSys,ACM Conference on Recommender Systems,B,数据会议,ACM
APWeb,Asia Pacific Web Conference,C,数据会议,Springer
DEXA,International Conference on Database and Expert System Applications,C,数据会议,Springer
ECIR,European Conference on Information Retrieval,C,数据会议,Springer
ESWC,Extended Semantic Web Conference,C,数据会议,Springer
WebDB,International Workshop on Web and Databases,C,数据会议,ACM
ER,International Conference on Conceptual Modeling,C,数据会议,Springer
MDM,International Conference on Mobile Data Management,C,数据会议,IEEE
SSDBM,International Conference on Scientific and Statistical Database Management,C,数据会议,IEEE
WAIM,International Conference on Web Age Information Management,C,数据会议,Springer
SSTD,International Symposium on Spatial and Temporal Databases,C,数据会议,Springer
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,C,数据会议,Springer
WISE,Web Information Systems Engineering,C,数据会议,Springer
ADMA,International Conference on Advanced Data Mining and Applications,C,数据会议,Springer
TOG,ACM Transactions on Graphics,A,图形学期刊,ACM
TIP,IEEE Transactions on Image Processing,A,图形学期刊,IEEE
TVCG,IEEE Transactions on Visualization and Computer Graphics,A,图形学期刊,IEEE
TOMM,ACM Transactions on Multimedia Computing Communications and Applications,B,图形学期刊,ACM
CAGD,Computer Aided Geometric Design,B,图形学期刊,Elsevier
CGF,Computer Graphics Forum,B,图形学期刊,Wiley
CAD,Computer-Aided Design,B,图形学期刊,Elsevier
GM,Graphical Models,B,图形学期刊,Elsevier
TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,B,图形学期刊,IEEE
TMM,IEEE Transactions on Multimedia,B,图形学期刊,IEEE
JASA,The Journal of the Acoustical Society of America,B,图形学期刊,AIP
SIIMS,SIAM Journal on Imaging Sciences,B,图形学期刊,SIAM
SPECOM,Speech Communication,B,图形学期刊,Elsevier
CGTA,Computational Geometry: Theory and Applications,C,图形学期刊,Elsevier
CAVW,computer animation & virtual worlds,C,图形学期刊,Wiley
C&G,Computers & Graphics,C,图形学期刊,Elsevier
DCG,Discrete & Computational Geometry,C,图形学期刊,Springer
SPL,IEEE Signal Processing Letters,C,图形学期刊,IEEE
IET-IPR,IET Image Processing,C,图形学期刊,IET
JVCIR,Journal of Visual Communication and Image Representation,C,图形学期刊,Elsevier
MS,Multimedia Systems,C,图形学期刊,Springer
MTA,Multimedia Tools and Applications,C,图形学期刊,Springer
SIGPRO,Signal Processing,C,图形学期刊,Elsevier
IMAGE,Signal Processing: Image Communication,C,图形学期刊,Elsevier
TVC,The Visual Computer,C,图形学期刊,Springer
CVMJ,Computational Visual Media,C,图形学期刊,Tsinghua University;Springer
